project,github_url,year,md
Oil spill monitoring: segmentation of satellite imagery,https://github.com/oceanhackweek/ohw23_proj_oil,2023,[Oil spill monitoring: segmentation of satellite imagery](https://github.com/oceanhackweek/ohw23_proj_oil)
Marine species distribution modeling tutorial: sea turtles,https://github.com/oceanhackweek/ohw23_proj_marinesdms,2023,[Marine species distribution modeling tutorial: sea turtles](https://github.com/oceanhackweek/ohw23_proj_marinesdms)
Inertial oscillations in the marginal ice zone,https://github.com/oceanhackweek/ohw23_proj_sea_ice_oscillations,2023,[Inertial oscillations in the marginal ice zone](https://github.com/oceanhackweek/ohw23_proj_sea_ice_oscillations)
Machine learning for Argo Data QC,https://github.com/oceanhackweek/ohw23_proj_argo_ml,2023,[Machine learning for Argo Data QC](https://github.com/oceanhackweek/ohw23_proj_argo_ml)
Benthic habitat mapping (image processing/seabed classification),https://github.com/oceanhackweek/ohw23-proj-habitatmapping,2023,[Benthic habitat mapping (image processing/seabed classification)](https://github.com/oceanhackweek/ohw23-proj-habitatmapping)
Mooring processing and data page (“fancy moorings”),https://github.com/oceanhackweek/ohw23_proj_fancymoorings,2023,[Mooring processing and data page (“fancy moorings”)](https://github.com/oceanhackweek/ohw23_proj_fancymoorings)
SST spatial distribution prediction using machine learning,https://github.com/oceanhackweek/ohw23_proj_sst,2023,[SST spatial distribution prediction using machine learning](https://github.com/oceanhackweek/ohw23_proj_sst)
Passive acoustics monitoring,https://github.com/oceanhackweek/ohw23-proj-pamproject,2023,[Passive acoustics monitoring](https://github.com/oceanhackweek/ohw23-proj-pamproject)
Direct geo referencing drone images,https://github.com/oceanhackweek/ohw23_proj_drone_georef,2023,[Direct geo referencing drone images](https://github.com/oceanhackweek/ohw23_proj_drone_georef)
Variability of the suppression of South Australian upwelling,https://github.com/oceanhackweek/ohw23_proj_SAupwelling,2023,[Variability of the suppression of South Australian upwelling](https://github.com/oceanhackweek/ohw23_proj_SAupwelling)
Bioinformatic pipelines for standardized output,https://github.com/oceanhackweek/ohw23_proj_amplicon,2023,[Bioinformatic pipelines for standardized output](https://github.com/oceanhackweek/ohw23_proj_amplicon)
Arctic observing data access and visualization,https://github.com/oceanhackweek/ohw22-proj-arcticdata,2022,[Arctic observing data access and visualization](https://github.com/oceanhackweek/ohw22-proj-arcticdata)
Kerchunk! Bless you,https://github.com/oceanhackweek/ohw22-proj-kerchunk,2022,[Kerchunk! Bless you](https://github.com/oceanhackweek/ohw22-proj-kerchunk)
Mapping eddy flow structures using GCM-Filters,https://github.com/oceanhackweek/ohw22-proj-gcmfilters,2022,[Mapping eddy flow structures using GCM-Filters](https://github.com/oceanhackweek/ohw22-proj-gcmfilters)
Ocean Database for South Atlantic,https://github.com/oceanhackweek/ohw22-proj_SA_ocean_db,2022,[Ocean Database for South Atlantic](https://github.com/oceanhackweek/ohw22-proj_SA_ocean_db)
Lightweight ocean passive acoustic data query,https://github.com/oceanhackweek/ohw22-proj-passive-acoustics-data-query,2022,[Lightweight ocean passive acoustic data query](https://github.com/oceanhackweek/ohw22-proj-passive-acoustics-data-query)
XYZT - Streamline extraction of data,https://github.com/oceanhackweek/ohw22-proj-xyzt,2022,[XYZT - Streamline extraction of data](https://github.com/oceanhackweek/ohw22-proj-xyzt)
ENSO prediction using Deep Learning,https://github.com/oceanhackweek/ohw22-proj-ENSO_Prediction,2022,[ENSO prediction using Deep Learning](https://github.com/oceanhackweek/ohw22-proj-ENSO_Prediction)
Radar Doppler Spectra imaging data quality control,None,2022,[Radar Doppler Spectra imaging data quality control](None)
Assessing ocean drivers of coastal physical processes (in Spanish),https://github.com/oceanhackweek/ohw22-proj-oleaje-costeros,2022,[Assessing ocean drivers of coastal physical processes (in Spanish)](https://github.com/oceanhackweek/ohw22-proj-oleaje-costeros)
Nutrient Profile Clustering,https://github.com/oceanhackweek/ohw22-proj-clusters-nutrients,2022,[Nutrient Profile Clustering](https://github.com/oceanhackweek/ohw22-proj-clusters-nutrients)
Unsupervised classification of Flow Cytometry TS data,https://github.com/oceanhackweek/ohw22-proj-flow-cytometry,2022,[Unsupervised classification of Flow Cytometry TS data](https://github.com/oceanhackweek/ohw22-proj-flow-cytometry)
SiMCosta Buoy,https://github.com/oceanhackweek/ohw22-proj-simcosta,2022,[SiMCosta Buoy](https://github.com/oceanhackweek/ohw22-proj-simcosta)
Biofouled,https://github.com/oceanhackweek/ohw22-proj-biofouled,2022,[Biofouled](https://github.com/oceanhackweek/ohw22-proj-biofouled)
Langrangian dispersion,https://github.com/oceanhackweek/ohw22-proj-lagrange_points,2022,[Langrangian dispersion](https://github.com/oceanhackweek/ohw22-proj-lagrange_points)
Extreme events / anomaly detection,https://github.com/oceanhackweek/ohw22-proj-Extreme_event,2022,[Extreme events / anomaly detection](https://github.com/oceanhackweek/ohw22-proj-Extreme_event)
Seismic Wave Speed From an Alaska Earthquake,https://github.com/oceanhackweek/ohw22-proj-earthquakes,2022,[Seismic Wave Speed From an Alaska Earthquake](https://github.com/oceanhackweek/ohw22-proj-earthquakes)
Evaluation of biological indicators in the Galapagos (in Spanish),https://github.com/oceanhackweek/ohw22-proj-biodiversity-indicators,2022,[Evaluation of biological indicators in the Galapagos (in Spanish)](https://github.com/oceanhackweek/ohw22-proj-biodiversity-indicators)
The ultimate collection of plotting example notebooks,https://github.com/oceanhackweek/ohw22-proj-plot_this_and_that,2022,[The ultimate collection of plotting example notebooks](https://github.com/oceanhackweek/ohw22-proj-plot_this_and_that)
FrontFinder,https://github.com/oceanhackweek/ohw22-proj-front-finder,2022,[FrontFinder](https://github.com/oceanhackweek/ohw22-proj-front-finder)
Project Video Data Processing,https://github.com/oceanhackweek/ohw22-proj-video-data-processing,2022,[Project Video Data Processing](https://github.com/oceanhackweek/ohw22-proj-video-data-processing)
Characterising Acoustic Sound Scattering Layers,https://github.com/oceanhackweek/ohw21-proj-bioacoustics,2021,[Characterising Acoustic Sound Scattering Layers](https://github.com/oceanhackweek/ohw21-proj-bioacoustics)
CMIP analysis ready data (ARD) workflow : turning big climate projection data into useful inputs for modelling or analysis,https://github.com/oceanhackweek/ohw21-proj-cmip-ard,2021,[CMIP analysis ready data (ARD) workflow : turning big climate projection data into useful inputs for modelling or analysis](https://github.com/oceanhackweek/ohw21-proj-cmip-ard)
"Matching open source environmental data to tagged species data (""Xtractopy"")",https://github.com/oceanhackweek/OHW21_proj_tag_data,2021,"[Matching open source environmental data to tagged species data (""Xtractopy"")](https://github.com/oceanhackweek/OHW21_proj_tag_data)"
Predicting ocean deep currents by satellite data,https://github.com/oceanhackweek/ohw21-proj-deep-currents,2021,[Predicting ocean deep currents by satellite data](https://github.com/oceanhackweek/ohw21-proj-deep-currents)
Pull/Hack all ocean data repositories into a global searchable resource,https://github.com/oceanhackweek/metadata-repository,2021,[Pull/Hack all ocean data repositories into a global searchable resource](https://github.com/oceanhackweek/metadata-repository)
Quality control of high frequency radar data,https://github.com/oceanhackweek/ohw21-proj-radar-qc,2021,[Quality control of high frequency radar data](https://github.com/oceanhackweek/ohw21-proj-radar-qc)
High frequency radar surface current data comparisons,https://github.com/oceanhackweek/ohw21-proj-coastal-radar,2021,[High frequency radar surface current data comparisons](https://github.com/oceanhackweek/ohw21-proj-coastal-radar)
"Use drone imagery of turtles, classify using neural network",https://github.com/oceanhackweek/ohw21-proj-drone-turtles,2021,"[Use drone imagery of turtles, classify using neural network](https://github.com/oceanhackweek/ohw21-proj-drone-turtles)"
Continuing OHW2020 project on OBIS and MPAs,https://github.com/oceanhackweek/ohw20-proj-species-marine-protected-areas,2021,[Continuing OHW2020 project on OBIS and MPAs](https://github.com/oceanhackweek/ohw20-proj-species-marine-protected-areas)
Impact of Submarine Volcanism on Ocean World Habitability,https://github.com/oceanhackweek/ohw21-proj-biological-activity-driven-by-geologic-events,2021,[Impact of Submarine Volcanism on Ocean World Habitability](https://github.com/oceanhackweek/ohw21-proj-biological-activity-driven-by-geologic-events)
"Sampling high-resolution model output as if by an in situ platform (ship, glider, mooring, etc.)",https://github.com/oceanhackweek/ohw21-proj-model-subsampling,2021,"[Sampling high-resolution model output as if by an in situ platform (ship, glider, mooring, etc.)](https://github.com/oceanhackweek/ohw21-proj-model-subsampling)"
Project: Cloud-based Gap-free SST product,https://github.com/oceanhackweek/ohw20-proj-gapfree-sst,2020,[Project: Cloud-based Gap-free SST product](https://github.com/oceanhackweek/ohw20-proj-gapfree-sst)
Project: Spatio-temporal Mapping of Argo data,https://github.com/oceanhackweek/ohw20-proj-argo-mapping,2020,[Project: Spatio-temporal Mapping of Argo data](https://github.com/oceanhackweek/ohw20-proj-argo-mapping)
Project: Visualizing the shelfbreak front in the northern Mid-Atlantic Bight with OOI data,https://github.com/oceanhackweek/ohw20-proj-ooi-profiles-section,2020,[Project: Visualizing the shelfbreak front in the northern Mid-Atlantic Bight with OOI data](https://github.com/oceanhackweek/ohw20-proj-ooi-profiles-section)
Project: Use the package pyXpcm to identify ocean regions,https://github.com/oceanhackweek/ohw20-proj-pyxpcm,2020,[Project: Use the package pyXpcm to identify ocean regions](https://github.com/oceanhackweek/ohw20-proj-pyxpcm)
Project: Ship track segmentor,https://github.com/oceanhackweek/ohw20-proj-shiptrack,2020,[Project: Ship track segmentor](https://github.com/oceanhackweek/ohw20-proj-shiptrack)
Project: Species assemblages in marine protected areas and associated species distribution models,https://github.com/oceanhackweek/ohw20-proj-species-marine-protected-areas,2020,[Project: Species assemblages in marine protected areas and associated species distribution models](https://github.com/oceanhackweek/ohw20-proj-species-marine-protected-areas)
Project: Marine Heat Wave (MHW) analysis with xarray,https://github.com/oceanhackweek/ohw20-proj-marine-heat-waves,2020,[Project: Marine Heat Wave (MHW) analysis with xarray](https://github.com/oceanhackweek/ohw20-proj-marine-heat-waves)
Project: Co-locators expansion,https://github.com/ioos/colocate,2020,[Project: Co-locators expansion](https://github.com/ioos/colocate)
Project: TMIFVP,https://github.com/oceanhackweek/ohw19-projects-TMIVP,2019,[Project: TMIFVP](https://github.com/oceanhackweek/ohw19-projects-TMIVP)
Project: Trackpy,https://github.com/oceanhackweek/ohw19-projects-Trackpy,2019,[Project: Trackpy](https://github.com/oceanhackweek/ohw19-projects-Trackpy)
Project: Isopy,https://github.com/oceanhackweek/DataAccess/tree/master/isopy,2019,[Project: Isopy](https://github.com/oceanhackweek/DataAccess/tree/master/isopy)
Project: Underwater Currency Counter,https://github.com/oceanhackweek/ohw19-project-computer_vision_club,2019,[Project: Underwater Currency Counter](https://github.com/oceanhackweek/ohw19-project-computer_vision_club)
Project: Co-Locators,https://github.com/oceanhackweek/ohw19-project-co_locators,2019,[Project: Co-Locators](https://github.com/oceanhackweek/ohw19-project-co_locators)
Project: 21st Century Prediction of Fish Larvae Catch Using ML,https://github.com/oceanhackweek/ohw19-project-CMIP6-larvae-ML,2019,[Project: 21st Century Prediction of Fish Larvae Catch Using ML](https://github.com/oceanhackweek/ohw19-project-CMIP6-larvae-ML)
Project: Modeling Volcano Deformation at Axial Seamount,None,2019,[Project: Modeling Volcano Deformation at Axial Seamount](None)
Project: DataStreamSync,https://github.com/oceanhackweek/ohw19-projects-DataStreamSync,2019,[Project: DataStreamSync](https://github.com/oceanhackweek/ohw19-projects-DataStreamSync)
Project: MLQC,https://github.com/oceanhackweek/ohw19-project-mlqc-for-timeseries,2019,[Project: MLQC](https://github.com/oceanhackweek/ohw19-project-mlqc-for-timeseries)
Project: Working with Chlorophyll Data from the Cloud,https://github.com/oceanhackweek/DataAccess/tree/master/Chlorophyll,2019,[Project: Working with Chlorophyll Data from the Cloud](https://github.com/oceanhackweek/DataAccess/tree/master/Chlorophyll)
Project: Amazon Fires,None,2019,[Project: Amazon Fires](None)
Project: Echopype,https://github.com/oceanhackweek/ohw18_echopype,2018,[Project: Echopype](https://github.com/oceanhackweek/ohw18_echopype)
Project: YodaIM,https://github.com/oceanhackweek/ohw18_yoda_im,2018,[Project: YodaIM](https://github.com/oceanhackweek/ohw18_yoda_im)
Project: Ocean Machine LEarning Toolkit (OMLET),https://github.com/oceanhackweek/ohw18_omlet,2018,[Project: Ocean Machine LEarning Toolkit (OMLET)](https://github.com/oceanhackweek/ohw18_omlet)
Project:  Southern Ocean,https://github.com/oceanhackweek/ohw18_southern-ocean,2018,[Project:  Southern Ocean](https://github.com/oceanhackweek/ohw18_southern-ocean)
Project:  Mussel Beach,https://github.com/oceanhackweek/ohw2018_musselbeach,2018,[Project:  Mussel Beach](https://github.com/oceanhackweek/ohw2018_musselbeach)
Project:  Sharknado,https://github.com/oceanhackweek/ohw18_sharknado,2018,[Project:  Sharknado](https://github.com/oceanhackweek/ohw18_sharknado)
Project:  Profiles,https://github.com/oceanhackweek/ohw18_profiles,2018,[Project:  Profiles](https://github.com/oceanhackweek/ohw18_profiles)
Project:  LTER Visualization,https://github.com/oceanhackweek/ohw_lter_vis,2018,[Project:  LTER Visualization](https://github.com/oceanhackweek/ohw_lter_vis)
Project:  OOI Data Validation,https://github.com/oceanhackweek/ohw2018_Data_Validation,2018,[Project:  OOI Data Validation](https://github.com/oceanhackweek/ohw2018_Data_Validation)
Project: Shallow Profiler Motion,https://github.com/oceanhackweek/ohw18_shallow_profiler_motion,2018,[Project: Shallow Profiler Motion](https://github.com/oceanhackweek/ohw18_shallow_profiler_motion)
Project:  ERDDAP Explorer,https://github.com/oceanhackweek/ohw18_erddap-explorer,2018,[Project:  ERDDAP Explorer](https://github.com/oceanhackweek/ohw18_erddap-explorer)
